1,23,2013-02,Beca Excelencia para estudios de Postgrado en el Extranjero,Beca Generación del Bicentenario (anteriormente denominada Beca Presidente de la República),Becas Postgrado Extranjero,400,,31/12/2013,25/11/2012,15/02/2013,16/02/2013,27/02/2013,11/10/2012,11/10/2012,0,45,RDE N° 126-2012-PRONABEC-OBEC-VMGI-MED,14/04/2026 14:01:22
2,3,2012-01,Beca Perú,Beca Peru,Beca Peru,720,2,,15/07/2012,13/09/2012,01/09/2012,01/10/2012,01/01/2012,30/12/2012,15,40,RDE N° 056-2012-PRONABEC-OBEC-VMGI-MED,14/04/2026 14:01:22
3,10,2013-01,Beca 18 Internacional - Cuba,Modalidad Pregrado Internacional,Becas Cuba,100,2,01/12/2012,28/09/2012,20/12/2012,01/07/2012,31/07/2012,01/08/2012,01/09/2012,17,23,RDE N° 091-2012-PRONABEC-OBEC-VMGI-MED,14/04/2026 14:01:22
4,12,2012-02,Beca 18 FFAA (2da Convocatoria),Licenciados FFAA,Beca FFAA,,2,,26/07/2012,07/12/2012,26/07/2012,09/08/2012,25/07/2012,11/08/2012,16,26,,14/04/2026 14:01:22
5,13,2012-01,Beca 18 VRAEM,VRAEM,Beca VRAEM,500,1,30/12/2012,26/07/2012,22/09/2012,26/07/2012,09/08/2012,25/07/2012,29/08/2012,15,23,RDE N° 047-2012-PRONABEC-OBEC-VMGI-MED,14/04/2026 14:01:22
6,16,2012   ,Beca 18 Modalidad Ordinaria,Modalidad Ordinaria,Beca Ordinario,2950,2,,01/01/2012,31/05/2012,20/04/2012,31/05/2012,20/04/2012,31/05/2012,15,23,RM N° 080-2012-ED,14/04/2026 14:01:22
7,17,2012-01,Beca 18 FFAA (1ra Convocatoria),Licenciados FFAA,Beca FFAA,,2,,01/01/2012,22/09/2012,20/04/2012,31/05/2012,20/04/2012,31/05/2012,15,23,RM N° 080-2012-ED,14/04/2026 14:01:22
8,18,2012-01,Beca 18 Reparaciones,Repared,Beca Reparaciones,50,2,,14/09/2012,26/10/2012,18/09/2012,28/09/2012,18/09/2012,28/09/2012,15,29,RDE N° 065-2012-PRONABEC-OBEC-VMGI-MED,14/04/2026 14:01:22
9,20,2013-01,Beca 18 Internacional - Honduras,Modalidad Pregrado Internacional,Becas Honduras,50,2,31/12/2013,28/09/2012,20/12/2012,01/07/2012,31/07/2012,01/08/2012,01/09/2012,17,22,RDE N° 094-2012-PRONABEC-OBEC-VMGI-MED,14/04/2026 14:01:22
10,21,2013-01,Beca 18 Internacional - Francia,Modalidad Pregrado Internacional,Becas Francia,150,2,31/12/2013,28/09/2012,14/12/2012,01/07/2012,31/07/2012,01/08/2012,01/09/2012,17,22,RDE N° 092-2012-PRONABEC-OBEC-VMGI-MED,14/04/2026 14:01:22
