1,PD1zq,1era. convocatoria,,PADRE,Tiene,Tiene,Tiene,200,200,2015-11,Tiene,FEMENINO,CALANA,14/04/2026 14:01:19
2,Rqm8,,,PADRE,No Tiene,No tiene,No Tiene,1650,,2020-03,Tiene,MASCULINO,CARMEN DE LA LEGUA REYNOSO,14/04/2026 14:01:19
3,QDWGz,1era. convocatoria,,PADRE,No Tiene,No tiene,No Tiene,1800,,2021-08,Tiene,FEMENINO,JESUS MARIA,14/04/2026 14:01:19
4,V0A3m,1era. convocatoria,,PADRE,Tiene,Tiene,sdsd,3000,2000,2015-11,Tiene,,,14/04/2026 14:01:19
5,K2pQv,1era. convocatoria,,PADRE,No Tiene,Tiene,No Tiene,2400,2300,2015-12,Tiene,MASCULINO,SANTIAGO DE SURCO,14/04/2026 14:01:19
6,7bjEe,1era. convocatoria,,PADRE,Tiene,Tiene,No Tiene,1700,1500,2015-12,Tiene,,,14/04/2026 14:01:19
7,6ozrM,1era. convocatoria,,PADRE,Tiene,Tiene,Tiene,10,2323,2015-12,Tiene,,,14/04/2026 14:01:19
8,k70DX,1era. convocatoria,,PADRE,Tiene,Tiene,No Tiene,5685,4000,2015-12,Tiene,MASCULINO,JESUS MARIA,14/04/2026 14:01:19
9,M3BVn,,,PADRE,No Tiene,No tiene,No Tiene,0,,2021-03,No Tiene,FEMENINO,SAN JUAN DE LURIGANCHO,14/04/2026 14:01:19
10,jlakv,1era. convocatoria,,PADRE,No Tiene,Tiene,No Tiene,2300,2105,2015-12,Tiene,MASCULINO,JESUS MARIA,14/04/2026 14:01:19
11,gxQ5Z,,,PADRE,Tiene,Tiene,Tiene,500,400,2015-12,Tiene,FEMENINO,CAJAMARCA,14/04/2026 14:01:19
12,yE1jV,,,PADRE,Tiene,Tiene,Tiene,800.00,800.00,2015-12,Tiene,FEMENINO,SAN JUAN DE MIRAFLORES,14/04/2026 14:01:19
13,W8DmZ,,,PADRE,No Tiene,Tiene,Tiene,750,750,2015-12,Tiene,FEMENINO,LIMA,14/04/2026 14:01:19
14,bN8av,,,PADRE,Tiene,Tiene,Tiene,350,260,2015-12,Tiene,FEMENINO,LIMA,14/04/2026 14:01:19
15,K8VGk,,,PADRE,Tiene,Tiene,Tiene,750,750,2015-12,Tiene,FEMENINO,SAN JUAN DE MIRAFLORES,14/04/2026 14:01:19
