1,CUBA,4,000000,Modalidad Pregrado Internacional,2013,,,2013-I,14/04/2026 14:01:21
2,LIMA,14,500000,Albergue,2015,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2015-I,14/04/2026 14:01:21
3,LIMA,12,000000,Beca Excelencia Academica,2014,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,2016-I,14/04/2026 14:01:21
4,LIMA,13,000000,Beca Peru,2013,Instituto de Educación Superior,IES PRIVADO FREDERICK WINSLOW TAYLOR,2012-I,14/04/2026 14:01:21
5,LIMA,11,000000,Beca Peru,2013,Instituto de Educación Superior,IES PRIVADO FREDERICK WINSLOW TAYLOR,2012-II,14/04/2026 14:01:21
6,LIMA,15,000000,Beca Vocacion Maestro,2014,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,2016-I,14/04/2026 14:01:21
7,LIMA,13,500000,Beca Vocacion Maestro,2016,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,2016-I,14/04/2026 14:01:21
8,LIMA,14,000000,Comunidades Nativas,2014,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2014-II,14/04/2026 14:01:21
9,LIMA,12,000000,Comunidades Nativas,2014,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2015-I,14/04/2026 14:01:21
10,LIMA,14,000000,Comunidades Nativas,2015,Instituto de Educación Superior,IES PRIVADO CHIO LECCA,2015-I,14/04/2026 14:01:21
11,LIMA,14,800000,Comunidades Nativas,2015,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2015-I,14/04/2026 14:01:21
12,LIMA,12,000000,Educación Intercultural Bilingüe,2014,Universidad,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA,2014-I,14/04/2026 14:01:21
13,LIMA,12,000000,Educación Intercultural Bilingüe,2015,Universidad,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA,2016-I,14/04/2026 14:01:21
14,LIMA,16,000000,Licenciados FFAA,2015,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2015-I,14/04/2026 14:01:21
15,LIMA,15,000000,Modalidad Ordinaria,2013,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,2013-II,14/04/2026 14:01:21
16,LIMA,13,000000,Modalidad Ordinaria,2013,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2013-I,14/04/2026 14:01:21
17,LIMA,11,000000,Modalidad Ordinaria,2013,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2013-II,14/04/2026 14:01:21
18,LIMA,11,000000,Modalidad Ordinaria,2013,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2015-I,14/04/2026 14:01:21
19,LIMA,11,000000,Modalidad Ordinaria,2014,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,2014-I,14/04/2026 14:01:21
20,LIMA,15,500000,Modalidad Ordinaria,2014,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,2014-II,14/04/2026 14:01:21
21,LIMA,11,500000,Modalidad Ordinaria,2014,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,2016-I,14/04/2026 14:01:21
22,LIMA,12,000000,Modalidad Ordinaria,2014,Universidad,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA,2014-I,14/04/2026 14:01:21
23,LIMA,10,000000,Modalidad Ordinaria,2014,Universidad,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA,2014-II,14/04/2026 14:01:21
24,LIMA,4,000000,Modalidad Ordinaria,2014,Universidad,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA,2015-I,14/04/2026 14:01:21
25,LIMA,14,000000,Modalidad Ordinaria,2014,Universidad,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA,2016-I,14/04/2026 14:01:21
26,LIMA,14,000000,Modalidad Ordinaria,2014,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,2014-I,14/04/2026 14:01:21
27,LIMA,13,000000,Modalidad Ordinaria,2014,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,2014-II,14/04/2026 14:01:21
28,LIMA,15,000000,Modalidad Ordinaria,2014,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,2015-II,14/04/2026 14:01:21
29,LIMA,15,000000,Modalidad Ordinaria,2014,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,2016-I,14/04/2026 14:01:21
30,LIMA,12,000000,Modalidad Ordinaria,2014,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,2016-II,14/04/2026 14:01:21
31,LIMA,11,333333,Modalidad Ordinaria,2014,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2014-I,14/04/2026 14:01:21
32,LIMA,12,666666,Modalidad Ordinaria,2014,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2014-II,14/04/2026 14:01:21
33,LIMA,11,666666,Modalidad Ordinaria,2014,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2015-I,14/04/2026 14:01:21
34,LIMA,16,000000,Modalidad Ordinaria,2015,Instituto de Educación Superior,ADDIS,2015-I,14/04/2026 14:01:21
35,LIMA,15,000000,Modalidad Ordinaria,2015,Instituto de Educación Superior,NORBERT WIENER,2015-I,14/04/2026 14:01:21
36,LIMA,16,000000,Modalidad Ordinaria,2015,Instituto de Educación Superior,NORBERT WIENER,2015-II,14/04/2026 14:01:21
37,LIMA,15,000000,Modalidad Ordinaria,2015,Instituto de Educación Superior,NORBERT WIENER,2016-I,14/04/2026 14:01:21
38,LIMA,13,000000,Modalidad Ordinaria,2015,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,2016-I,14/04/2026 14:01:21
39,LIMA,10,600000,Modalidad Ordinaria,2015,Universidad,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,2016-I,14/04/2026 14:01:21
40,LIMA,13,000000,Modalidad Ordinaria,2015,Universidad,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA,2016-I,14/04/2026 14:01:21
41,LIMA,15,000000,Modalidad Ordinaria,2015,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,2015-I,14/04/2026 14:01:21
42,LIMA,15,000000,Modalidad Ordinaria,2015,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,2015-II,14/04/2026 14:01:21
43,LIMA,14,333333,Modalidad Ordinaria,2015,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,2016-I,14/04/2026 14:01:21
44,LIMA,8,666666,Modalidad Ordinaria,2015,Universidad,UNIVERSIDAD CIENTIFICA DEL SUR,2016-II,14/04/2026 14:01:21
45,LIMA,13,000000,Modalidad Ordinaria,2015,Universidad,UNIVERSIDAD PERUANA CAYETANO HEREDIA,2015-I,14/04/2026 14:01:21
46,LIMA,13,000000,Modalidad Ordinaria,2015,Universidad,UNIVERSIDAD PERUANA CAYETANO HEREDIA,2016-I,14/04/2026 14:01:21
47,LIMA,16,000000,Modalidad Ordinaria,2015,Universidad,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS,2015-I,14/04/2026 14:01:21
48,LIMA,15,000000,Modalidad Ordinaria,2015,Universidad,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS,2016-I,14/04/2026 14:01:21
49,LIMA,13,400000,Modalidad Ordinaria,2015,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2015-I,14/04/2026 14:01:21
50,LIMA,12,250000,Modalidad Ordinaria,2015,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2015-II,14/04/2026 14:01:21
51,LIMA,11,000000,Repared,2014,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2014-I,14/04/2026 14:01:21
52,LIMA,14,000000,Repared,2014,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2014-II,14/04/2026 14:01:21
53,LIMA,14,000000,Repared,2014,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2015-I,14/04/2026 14:01:21
54,LIMA,13,500000,VRAEM,2014,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2014-I,14/04/2026 14:01:21
55,LIMA,15,000000,VRAEM,2014,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2014-II,14/04/2026 14:01:21
56,LIMA,14,500000,VRAEM,2014,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2015-I,14/04/2026 14:01:21
57,LIMA,16,000000,VRAEM,2015,Instituto de Educación Superior,NORBERT WIENER,2015-I,14/04/2026 14:01:21
58,LIMA,16,000000,VRAEM,2015,Instituto de Educación Superior,NORBERT WIENER,2015-II,14/04/2026 14:01:21
59,LIMA,16,000000,VRAEM,2015,Instituto de Educación Superior,NORBERT WIENER,2016-I,14/04/2026 14:01:21
60,LIMA,1,000000,VRAEM,2015,Instituto de Educación Superior,NORBERT WIENER,2016-II,14/04/2026 14:01:21
61,LIMA,14,666666,VRAEM,2015,Universidad,UNIVERSIDAD PRIVADA SAN IGNACIO DE LOYOLA,2015-I,14/04/2026 14:01:21
